departamento	caes_1	puestos	anio
Uruguay	ENSESALUD	3057	2021
Uruguay	MANUF	92120	2021
Uruguay	PRIM	2506	2021
Uruguay	SERVEMP	12404	2021
Uruguay	SOCADMIN	10287	2021
Victoria	COMHOTREST	2930	2021
Victoria	CONST	176	2021
Victoria	ENSESALUD	471	2021
Victoria	MANUF	14796	2021
Victoria	PRIM	1503	2021
Victoria	SERVEMP	2352	2021
Victoria	SOCADMIN	5314	2021
Villaguay	COMHOTREST	2804	2021
Villaguay	CONST	1088	2021
Villaguay	ENSESALUD	455	2021
Villaguay	MANUF	12234	2021
Villaguay	PRIM	2757	2021
Villaguay	SERVEMP	2796	2021
Villaguay	SOCADMIN	4905	2021
